mrt_code,mrt_name,address,floor_type,room_num,price,size,floor,parking,link
BL18,市政府捷運站,台北市信義區永吉路30巷,整層住家,1,,101.32,4F/4F,無,//rent.591.com.tw/home/house/detail/2/9432834.html
R07,東門捷運站,台北市大安區金華街,整層住家,3,,101.64,3F/11F,無,//rent.591.com.tw/home/house/detail/2/9380365.html
R02,象山捷運站,台北市信義區信義路五段,整層住家,3,,102.19,21F/27F,無,//rent.591.com.tw/home/house/detail/2/9270178.html
BR21,葫洲捷運站,台北市內湖區民權東路六段,整層住家,3,,102.51,6F/14F,無,//rent.591.com.tw/home/house/detail/2/9288753.html
R03,台北101/世貿捷運站,台北市信義區基隆路二段,整層住家,10,,102.74,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9445274.html
R19,石牌捷運站,台北市北投區石牌路二段,整層住家,4,193000,100.02,7F/12F,無,//rent.591.com.tw/home/house/detail/2/9408127.html
R15,劍潭捷運站,台北市士林區菁山路,整層住家,4,99100,100.08,3F/6F,無,//rent.591.com.tw/home/house/detail/2/9299165.html
O10,中山國小捷運站,台北市中山區民權東路一段,整層住家,4,199900,100.26,2F/16F,無,//rent.591.com.tw/home/house/detail/2/9364169.html
O10,中山國小捷運站,台北市中山區民權東路一段,整層住家,1,188500,100.27,13F/16F,無,//rent.591.com.tw/home/house/detail/2/9363137.html
R17,芝山捷運站,台北市士林區中山北路七段181巷,整層住家,5,241300,100.55,3F/5F,無,//rent.591.com.tw/home/house/detail/2/9209040.html
BR23,南港軟體園區捷運站,台北市南港區經貿二路235巷,整層住家,3,214600,100.83,11F/21F,無,//rent.591.com.tw/home/house/detail/2/9360200.html
BR23,南港軟體園區捷運站,台北市南港區經貿二路235巷,整層住家,3,215100,100.83,11F/21F,無,//rent.591.com.tw/home/house/detail/2/9310228.html
R21,奇岩捷運站,台北市北投區三合街一段36巷,整層住家,4,157100,100.84,5F/9F,無,//rent.591.com.tw/home/house/detail/2/9427519.html
R21,奇岩捷運站,台北市北投區三合街一段36巷,整層住家,4,169100,100.86,7F/9F,無,//rent.591.com.tw/home/house/detail/2/9369231.html
BR11,南京復興捷運站,台北市松山區敦化北路,整層住家,3,570300,100.89,16F/23F,無,//rent.591.com.tw/home/house/detail/2/9257177.html
BL18,市政府捷運站,台北市信義區永吉路30巷,整層住家,1,255800,101.32,4F/4F,無,//rent.591.com.tw/home/house/detail/2/9432834.html
R15,劍潭捷運站,台北市士林區基河路,整層住家,3,202500,101.36,4F/15F,無,//rent.591.com.tw/home/house/detail/2/9449570.html
BR19,內湖捷運站,台北市內湖區內湖路三段60巷,整層住家,3,190600,101.45,2F/19F,無,//rent.591.com.tw/home/house/detail/2/9271806.html
R07,東門捷運站,台北市大安區金華街,整層住家,4,287300,101.64,3F/11F,無,//rent.591.com.tw/home/house/detail/2/9213971.html
R07,東門捷運站,台北市大安區金華街,整層住家,3,265800,101.64,3F/11F,無,//rent.591.com.tw/home/house/detail/2/9380365.html
G19,松山捷運站,台北市內湖區行善路281巷,整層住家,4,169100,101.68,12F/12F,無,//rent.591.com.tw/home/house/detail/2/9344229.html
R22A,新北投捷運站,台北市北投區奇岩路,整層住家,3,70100,101,整棟/1F,無,//rent.591.com.tw/home/house/detail/2/9204232.html
BL19,永春捷運站,台北市信義區忠孝東路五段236巷,整層住家,3,309300,102.05,11F/11F,無,//rent.591.com.tw/home/house/detail/2/9356484.html
R02,象山捷運站,台北市信義區信義路五段,整層住家,3,475500,102.19,21F/27F,無,//rent.591.com.tw/home/house/detail/2/9270178.html
BR21,葫洲捷運站,台北市內湖區民權東路六段,整層住家,4,217000,102.51,5F/14F,無,//rent.591.com.tw/home/house/detail/2/9409739.html
BR21,葫洲捷運站,台北市內湖區民權東路六段,整層住家,3,204200,102.51,6F/14F,無,//rent.591.com.tw/home/house/detail/2/9288753.html
G15,松江南京捷運站,台北市中山區松江路60號,整層住家,3,245200,102.68,5F/14F,無,//rent.591.com.tw/home/house/detail/2/9321669.html
G15,松江南京捷運站,台北市中山區松江路,整層住家,3,241600,102.68,3F/14F,無,//rent.591.com.tw/home/house/detail/2/9422914.html
G15,松江南京捷運站,台北市中山區松江路,整層住家,3,285100,102.68,10F/14F,無,//rent.591.com.tw/home/house/detail/2/9160158.html
R03,台北101/世貿捷運站,台北市信義區基隆路二段,整層住家,10,178800,102.74,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9445274.html
G10,中正紀念堂捷運站,台北市中正區三元街,整層住家,4,168700,102.83,4F/11F,無,//rent.591.com.tw/home/house/detail/2/9297440.html
G09,古亭捷運站,台北市中正區三元街,整層住家,3,157100,102.84,4F/11F,無,//rent.591.com.tw/home/house/detail/2/9398116.html
R08,中正紀念堂捷運站,台北市中正區三元街270號,整層住家,3,157100,102.84,4F/11F,無,//rent.591.com.tw/home/house/detail/2/9292551.html
R03,台北101/世貿捷運站,台北市信義區吳興街284巷,整層住家,6,192800,102.9,16F/17F,無,//rent.591.com.tw/home/house/detail/2/9361091.html
BR16,西湖捷運站,台北市內湖區內湖路一段411巷,整層住家,3,229600,103.32,11F/11F,無,//rent.591.com.tw/home/house/detail/2/9325985.html
BR02,木柵捷運站,台北市文山區木柵路四段159巷,整層住家,5,125200,103.42,整棟/4F,無,//rent.591.com.tw/home/house/detail/2/9138365.html
O09,行天宮捷運站,台北市中山區民生東路二段147巷,整層住家,3,192800,103.48,4F/10F,無,//rent.591.com.tw/home/house/detail/2/9300676.html
BR15,劍南路捷運站,台北市內湖區文湖街21巷,整層住家,3,144900,103.5,9F/11F,無,//rent.591.com.tw/home/house/detail/2/9219748.html
BR12,中山國中捷運站,台北市中山區民生東路三段,整層住家,4,217200,103.64,2F/14F,無,//rent.591.com.tw/home/house/detail/2/9306341.html
BR12,中山國中捷運站,台北市中山區民生東路三段,整層住家,4,217500,103.64,2F/14F,無,//rent.591.com.tw/home/house/detail/2/9423023.html
BR11,南京復興捷運站,台北市中山區民生東路三段,整層住家,4,224700,103.64,2F/14F,無,//rent.591.com.tw/home/house/detail/2/9294412.html
BL14,忠孝新生捷運站,台北市中正區杭州南路一段17巷,整層住家,6,366300,103.67,17F/20F,無,//rent.591.com.tw/home/house/detail/2/9419296.html
R20,唭哩岸捷運站,台北市北投區公館路,整層住家,4,120300,103.7,4F/14F,無,//rent.591.com.tw/home/house/detail/2/9203859.html
BR21,葫洲捷運站,台北市內湖區康寧路三段75巷,整層住家,5,122900,103,1F/3F,無,//rent.591.com.tw/home/house/detail/2/9197254.html
R07,東門捷運站,台北市中正區臨沂街44巷,整層住家,4,168700,104.23,1F/5F,無,//rent.591.com.tw/home/house/detail/2/9236300.html
R22,北投捷運站,台北市北投區大興街,整層住家,3,161400,104.24,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9378944.html
R22,北投捷運站,台北市北投區大興街32號,整層住家,3,161400,104.24,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9419004.html
R21,奇岩捷運站,台北市北投區三合街118巷,整層住家,3,188500,104.24,1F/7F,無,//rent.591.com.tw/home/house/detail/2/3886682.html
R07,東門捷運站,台北市中正區臨沂街44巷,整層住家,4,168900,104.2,1F/5F,無,//rent.591.com.tw/home/house/detail/2/9105275.html
R04,信義安和捷運站,台北市大安區信義路四段,整層住家,4,367300,104.62,9F/15F,無,//rent.591.com.tw/home/house/detail/2/9388749.html
R04,信義安和捷運站,台北市大安區信義路四段,整層住家,4,345500,104.62,13F/14F,無,//rent.591.com.tw/home/house/detail/2/9269219.html
G18,南京三民捷運站,台北市松山區健康路,整層住家,4,287500,104.83,4F/15F,無,//rent.591.com.tw/home/house/detail/2/9229632.html
BL19,永春捷運站,台北市信義區永吉路200巷,整層住家,4,193300,104,1F/7F,無,//rent.591.com.tw/home/house/detail/2/9373757.html
G06,萬隆捷運站,台北市文山區興隆路一段55巷,整層住家,4,178300,105.23,1F/9F,無,//rent.591.com.tw/home/house/detail/2/9187686.html
R21,奇岩捷運站,台北市北投區公館路161巷,整層住家,3,198100,105.71,1F/5F,無,//rent.591.com.tw/home/house/detail/2/9379499.html
R12,雙連捷運站,台北市中山區民生東路一段,整層住家,9,142100,105,11F/12F,無,//rent.591.com.tw/home/house/detail/2/9227935.html
R22A,新北投捷運站,台北市北投區大屯路,整層住家,6,164300,106.15,整棟/3F,無,//rent.591.com.tw/home/house/detail/2/9103976.html
BL13,善導寺捷運站,台北市中正區杭州南路一段,整層住家,4,309300,106.17,14F/14F,無,//rent.591.com.tw/home/house/detail/2/9326115.html
R02,象山捷運站,台北市信義區信義路五段91巷,整層住家,4,575100,106.18,3F/27F,無,//rent.591.com.tw/home/house/detail/2/9431745.html
R22,北投捷運站,台北市北投區光明路151巷,整層住家,4,166700,106.1,27F/27F,無,//rent.591.com.tw/home/house/detail/2/9220371.html
BR11,南京復興捷運站,台北市松山區敦化北路120巷,整層住家,3,454300,106.31,10F/10F,無,//rent.591.com.tw/home/house/detail/2/9195979.html
BR21,葫洲捷運站,台北市內湖區成功路五段450巷,整層住家,5,241600,106.33,12F/14F,無,//rent.591.com.tw/home/house/detail/2/9426891.html
R19,石牌捷運站,台北市北投區石牌路二段315巷,整層住家,4,148400,106.34,3F/15F,無,//rent.591.com.tw/home/house/detail/2/9308994.html
G18,南京三民捷運站,台北市松山區健康路,整層住家,4,281700,106.49,6F/15F,無,//rent.591.com.tw/home/house/detail/2/9229638.html
R03,台北101/世貿捷運站,台北市信義區松平路50巷,整層住家,4,287300,106.51,4F/8F,無,//rent.591.com.tw/home/house/detail/2/9330334.html
G04,大坪林捷運站,台北市文山區辛亥路六段21巷,整層住家,5,120500,106.86,21F/22F,無,//rent.591.com.tw/home/house/detail/2/9308639.html
R15,劍潭捷運站,台北市士林區基河路,整層住家,3,212600,106.95,9F/21F,無,//rent.591.com.tw/home/house/detail/2/9449636.html
BR08,科技大樓捷運站,台北市大安區敦南街,整層住家,4,357600,106,5F/16F,無,//rent.591.com.tw/home/house/detail/2/9358398.html
BR15,劍南路捷運站,台北市內湖區文湖街,整層住家,4,203500,107.22,14F/15F,無,//rent.591.com.tw/home/house/detail/2/9372882.html
G19,松山捷運站,台北市內湖區行善路281巷,整層住家,4,287300,107.2,1F/10F,無,//rent.591.com.tw/home/house/detail/2/9224517.html
G19,松山捷運站,台北市信義區市民大道六段,整層住家,4,251000,107.33,14F/16F,無,//rent.591.com.tw/home/house/detail/2/9432888.html
G19,松山捷運站,台北市內湖區行善路333巷,整層住家,4,169100,107.59,6F/9F,無,//rent.591.com.tw/home/house/detail/2/9344220.html
BL17,國父紀念館捷運站,台北市大安區仁愛路四段408巷18號,整層住家,3,374500,107.68,4F/13F,無,//rent.591.com.tw/home/house/detail/2/9365834.html
